,comp_id,top3
24532,2389874,"[2366728, 2389874, 2412528, 2424340]"
24533,2389973,"[2389973, 2399357, 2416860, 2455525]"
24534,2390000,"[2361767, 2383193, 2385275, 2390000]"
24535,2390176,"[2390176, 2400070, 2420292, 2463887]"
24536,2390600,"[2360117, 2374229, 2390600, 2452344]"
24537,2390634,"[1615630, 2390634, 2406146, 2454394]"
24538,2391034,"[1231565, 1615630, 2391034, 2406146]"
24539,2391152,"[2391152, 2496976, 2508428, 2518402]"
24540,2392078,"[2387059, 2392078, 2438276, 2447778]"
24541,2392232,"[2375230, 2376128, 2392232, 2416382]"
24542,2392331,"[444345, 625250, 2392331, 2493156]"
24543,2392513,"[2387059, 2392513, 2438276, 2447778]"
24544,2394137,"[104923, 365281, 2394137, 2491164]"
24545,2395103,[2395103]
24546,2395735,"[2395735, 2407082, 2413377, 2455525]"
24547,2396395,[2396395]
24548,2396987,"[2361767, 2374511, 2396987, 2492177]"
24549,2397284,"[2350884, 2397284, 2409760, 2437849]"
24550,2397323,"[2397323, 2487703, 2523862]"
24551,2398254,"[2372184, 2385415, 2398254, 2435913]"
24552,2398987,"[2398987, 2406479, 2408413, 2408543]"
24553,2399357,"[2389973, 2399357, 2408413, 2408543]"
24554,2399926,"[2399926, 2509330]"
24555,2400070,"[2392513, 2400070, 2425714, 2448393]"
24556,2400457,"[2371882, 2400457]"
24557,2400494,"[2343593, 2400494, 2405145, 2426609]"
24558,2400757,"[2068138, 2068140, 2400070, 2400757]"
24559,2403241,"[2403241, 2408413, 2408543, 2432465]"
24560,2403262,"[1823612, 2403262, 2411227, 2509862]"
24561,2403884,"[2403884, 2426227, 2517783, 2529270]"
24562,2403960,"[2403960, 2492045, 2512602, 2515914]"
24563,2404149,"[110480, 2121949, 2375015, 2404149]"
24564,2404545,"[1615630, 2404545]"
24565,2404576,"[2374619, 2404576, 2427099]"
24566,2405145,"[2343593, 2400494, 2405145, 2438621]"
24567,2405292,"[1946091, 2355601, 2380625, 2405292]"
24568,2405441,"[2359320, 2405441, 2415901, 2447921]"
24569,2406146,"[1231565, 2390634, 2391034, 2406146]"
24570,2406188,"[2406188, 2502224, 2505177, 2520967]"
24571,2406479,"[2386738, 2398987, 2406479, 2418782]"
24572,2407082,"[2395735, 2407082, 2419576, 2461950]"
24573,2407240,"[2407240, 2413377, 2436578, 2461950]"
24574,2408413,"[2403241, 2408413, 2408543, 2455525]"
24575,2408543,"[2403241, 2408413, 2408543, 2455525]"
24576,2409760,"[2350884, 2389874, 2409760, 2437849]"
24577,2411227,"[2403262, 2411227, 2491185, 2509862]"
24578,2411656,[2411656]
24579,2411869,[2411869]
24580,2412528,"[2366728, 2389874, 2412528, 2454537]"
24581,2412589,"[2368467, 2412589, 2420903, 2437581]"
24582,2412811,"[2148131, 2182479, 2191632, 2412811]"
24583,2413377,"[2395735, 2413377, 2427703, 2461950]"
24584,2413552,"[1842877, 2374264, 2413552]"
24585,2414024,"[2351133, 2359320, 2372646, 2414024]"
24586,2414285,"[2371331, 2414285, 2426609, 2447993]"
24587,2415252,"[2415252, 2522698]"
24588,2415867,[2415867]
24589,2415901,"[2405441, 2414024, 2415901, 2446803]"
24590,2416382,"[2375230, 2376128, 2392232, 2416382]"
24591,2416860,"[2389973, 2416860, 2432465, 2455525]"
24592,2417433,"[2214388, 2417433, 2508830, 2532768]"
24593,2417612,[2417612]
24594,2418208,"[2380440, 2390600, 2418208, 2452344]"
24595,2418567,"[2351133, 2366420, 2418567, 2437400]"
24596,2418782,"[2386738, 2406479, 2418782, 2449877]"
24597,2419576,"[2395735, 2407082, 2419576, 2449877]"
24598,2420121,"[2420121, 2422212, 2449877, 2452917]"
24599,2420287,"[2343911, 2420287, 2454007, 2488100]"
24600,2420292,"[2390176, 2420292, 2456670, 2463887]"
24601,2420903,"[2344768, 2412589, 2420903, 2441856]"
24602,2422164,"[1110447, 1231565, 1615630, 2422164]"
24603,2422212,"[2420121, 2422212, 2449877, 2452917]"
24604,2422484,[2422484]
24605,2422847,"[2392513, 2422847, 2423725, 2447778]"
24606,2423724,"[137888, 2423724, 2498004, 2510942]"
24607,2423725,"[2422847, 2423725, 2445832, 2447778]"
24608,2424340,"[2349076, 2389874, 2424340, 2437849]"
24609,2424357,"[2400070, 2424357, 2425714, 2448393]"
24610,2424654,"[2354390, 2424654, 2447666, 2451487]"
24611,2425714,"[2387059, 2400070, 2425714, 2448393]"
24612,2426227,"[2403884, 2426227, 2517783, 2529270]"
24613,2426609,"[2343593, 2400494, 2426609, 2445728]"
24614,2426650,[2426650]
24615,2426864,"[2361767, 2367393, 2383193, 2426864]"
24616,2427090,"[2135099, 2350351, 2427090, 2462932]"
24617,2427099,"[2404576, 2427099]"
24618,2427531,"[2343593, 2371331, 2400494, 2427531]"
24619,2427703,"[2427703, 2432124, 2452917, 2456731]"
24620,2427783,"[6012, 458557, 2427783, 2508016]"
24621,2428200,"[2348942, 2428200, 2504218, 2525130]"
24622,2428558,"[644612, 2428558, 2526887, 2528611]"
24623,2428752,[2428752]
24624,2430370,"[481213, 2430370, 2517608, 2527122]"
24625,2432124,"[2427703, 2432124, 2452917, 2456731]"
24626,2432465,"[2408413, 2408543, 2416860, 2432465]"
24627,2433930,"[2387059, 2433930, 2438276, 2447778]"
24628,2434156,"[2343556, 2374511, 2383193, 2434156]"
24629,2434569,"[2363624, 2368296, 2434569]"
24630,2435787,[2435787]
24631,2435913,"[2372184, 2385415, 2398254, 2435913]"
24632,2436397,"[2436397, 2517518, 2531069, 2531973]"
24633,2436578,"[2407240, 2420121, 2436578, 2449877]"
24634,2437087,"[2349076, 2366728, 2437087, 2437849]"
24635,2437400,"[2351133, 2359320, 2366420, 2437400]"
24636,2437581,"[2368467, 2437581, 2441856, 2455738]"
24637,2437849,"[2349076, 2366728, 2437087, 2437849]"
24638,2438276,"[2387059, 2392513, 2438276, 2447778]"
24639,2438621,"[2343593, 2400494, 2405145, 2438621]"
24640,2438897,[2438897]
24641,2439616,"[171563, 221091, 2439616]"
24642,2440244,"[2422847, 2440244, 2447778, 2456670]"
24643,2440509,"[2363624, 2368296, 2440509]"
24644,2440967,"[1231565, 1615630, 2391034, 2440967]"
24645,2441186,"[2437581, 2441186, 2447666, 2488387]"
24646,2441600,[2441600]
24647,2441856,"[2344768, 2420903, 2437581, 2441856]"
24648,2442190,[2442190]
24649,2444059,"[2366473, 2437849, 2444059, 2454537]"
24650,2444386,"[2362814, 2383100, 2444386, 2447993]"
24651,2445097,[2445097]
24652,2445728,"[2376128, 2426609, 2445728, 2501382]"
24653,2445832,"[2387059, 2438276, 2445832, 2447778]"
24654,2445855,"[502116, 502137, 2445855, 2513606]"
24655,2446326,"[2135099, 2446326, 2455589, 2456961]"
24656,2446596,[2446596]
24657,2446803,"[2405441, 2415901, 2446803]"
24658,2446943,"[370289, 653126, 671127, 2446943]"
24659,2447526,[2447526]
24660,2447666,"[2344768, 2356605, 2447666, 2450797]"
24661,2447778,"[2387059, 2392513, 2438276, 2447778]"
24662,2447921,"[2359320, 2405441, 2415901, 2447921]"
24663,2447993,"[2371247, 2383100, 2414285, 2447993]"
24664,2448393,"[2387059, 2400070, 2425714, 2448393]"
24665,2448585,"[9837, 2448585]"
24666,2448783,"[2344752, 2355322, 2381233, 2448783]"
24667,2449877,"[2419576, 2420121, 2422212, 2449877]"
24668,2450559,"[1231565, 1615630, 2450559, 2454394]"
24669,2450797,"[2344768, 2356605, 2447666, 2450797]"
24670,2451487,"[2354390, 2424654, 2447666, 2451487]"
24671,2452344,"[2359589, 2374229, 2390600, 2452344]"
24672,2452917,"[2427703, 2432124, 2452917, 2456731]"
24673,2453082,[2453082]
24674,2453651,"[2361767, 2376773, 2383193, 2453651]"
24675,2454007,"[2343911, 2420287, 2454007, 2520283]"
24676,2454122,[2454122]
24677,2454394,"[1615630, 2390634, 2450559, 2454394]"
24678,2454537,"[2350884, 2412528, 2437849, 2454537]"
24679,2454622,"[2423725, 2445832, 2447778, 2454622]"
24680,2454927,"[460194, 2454927, 2510943, 2525523]"
24681,2455525,"[2408413, 2408543, 2416860, 2455525]"
24682,2455589,"[2350351, 2446326, 2455589, 2462932]"
24683,2455738,"[2368467, 2412589, 2437581, 2455738]"
24684,2456596,"[2387059, 2438276, 2447778, 2456596]"
24685,2456670,"[2387059, 2440244, 2447778, 2456670]"
24686,2456731,"[2427703, 2432124, 2452917, 2456731]"
24687,2456858,"[2424654, 2447666, 2450797, 2456858]"
24688,2456961,"[2135099, 2456961, 2462932, 2487823]"
24689,2457019,"[132182, 2456961, 2457019, 2462932]"
24690,2457663,[2457663]
24691,2458937,"[707965, 2260977, 2458937, 2521850]"
24692,2460969,"[2359695, 2460969]"
24693,2461950,"[2407082, 2413377, 2452917, 2461950]"
24694,2462932,"[2350351, 2388835, 2456961, 2462932]"
24695,2463887,"[2390176, 2420292, 2456670, 2463887]"
24696,2464689,"[2335585, 2464689, 2489644, 2531394]"
24697,2464706,[2464706]
24698,2464781,[2464781]
24699,2465975,"[2465975, 2466225, 2500603, 2501992]"
24700,2466225,"[2466225, 2507966, 2520315, 2534807]"
24701,2466823,[2466823]
24702,2467336,"[2467336, 2521576]"
24703,2468081,"[458557, 2468081, 2508490, 2528067]"
24704,2470541,"[2470541, 2488979, 2491389, 2537093]"
24705,2470721,"[2470721, 2475486]"
24706,2470828,"[2470828, 2475150, 2503027, 2529946]"
24707,2471043,"[2471043, 2491864, 2511931, 2512443]"
24708,2473756,"[2473756, 2491053]"
24709,2474935,"[2474935, 2489909, 2505294, 2517336]"
24710,2475150,"[2470828, 2475150, 2503027, 2529946]"
24711,2475486,"[2470721, 2475486]"
24712,2477100,"[1524794, 1524798, 1584384, 2477100]"
24713,2477777,"[71515, 71663, 2477777, 2514435]"
24714,2478510,[2478510]
24715,2478945,"[2478945, 2525298, 2526235, 2534460]"
24716,2479139,"[2479139, 2483454, 2487777, 2516730]"
24717,2479608,"[2479608, 2508974, 2523020, 2534000]"
24718,2479938,"[320387, 445346, 1262906, 2479938]"
24719,2481444,"[2481444, 2501054, 2518130, 2534000]"
24720,2482412,[2482412]
24721,2482966,"[2482966, 2512183, 2512459, 2521650]"
24722,2483454,"[2479139, 2483454, 2487777, 2516730]"
24723,2483559,"[2483559, 2507706, 2510589, 2535520]"
24724,2483938,"[2483938, 2498510]"
24725,2484913,"[2484913, 2503746]"
24726,2485028,[2485028]
24727,2486580,[2486580]
24728,2486620,[2486620]
24729,2486781,"[2486781, 2487962, 2490360, 2495147]"
24730,2487532,"[2487532, 2491585, 2494885, 2513412]"
24731,2487535,"[2487535, 2504775, 2511817, 2534062]"
24732,2487540,"[2487540, 2495717, 2496150, 2509632]"
24733,2487544,"[2487544, 2490186, 2533428, 2537191]"
24734,2487545,"[2487545, 2488454, 2536161, 2536658]"
24735,2487551,"[2487551, 2497938, 2505103, 2524359]"
24736,2487555,"[2487555, 2488068, 2502223, 2530096]"
24737,2487556,[2487556]
24738,2487558,[2487558]
24739,2487564,"[2487564, 2494982, 2501994, 2507707]"
24740,2487565,"[2487565, 2512478, 2516103, 2528147]"
24741,2487568,"[2487568, 2491427, 2500436, 2521464]"
24742,2487571,[2487571]
24743,2487574,"[2487574, 2491055, 2521572, 2533508]"
24744,2487580,[2487580]
24745,2487584,"[2487584, 2496208, 2498811, 2501558]"
24746,2487590,[2487590]
24747,2487598,"[502119, 2487598, 2502082, 2504726]"
24748,2487606,"[2487606, 2496880, 2509593, 2523871]"
24749,2487609,"[2366527, 2487609, 2493254, 2529127]"
24750,2487615,"[2487615, 2487681, 2500167, 2518861]"
24751,2487616,"[2487616, 2496548, 2498938, 2519090]"
24752,2487621,[2487621]
24753,2487625,"[2487625, 2489616, 2509314, 2516931]"
24754,2487629,"[2487629, 2502344, 2502553, 2511526]"
24755,2487630,[2487630]
24756,2487633,"[647674, 2487633, 2494492, 2505935]"
24757,2487635,"[2487635, 2491631, 2501107, 2521449]"
24758,2487640,"[2487640, 2491824, 2494268, 2514968]"
24759,2487642,"[2487642, 2501976, 2534055]"
24760,2487644,"[2487644, 2494014, 2522935, 2526367]"
24761,2487648,"[2487648, 2521096, 2529080, 2530026]"
24762,2487653,"[2487653, 2495576, 2526865, 2536440]"
24763,2487658,"[2487658, 2504618, 2522364, 2527764]"
24764,2487660,"[2487660, 2500814, 2513678, 2534597]"
24765,2487663,"[2487663, 2495696, 2508730, 2531933]"
24766,2487668,"[2487668, 2489521, 2516907, 2521331]"
24767,2487669,"[2487669, 2507983, 2514019, 2517530]"
24768,2487675,"[2487675, 2509402, 2531013, 2531275]"
24769,2487678,"[2487678, 2516863, 2519571, 2529265]"
24770,2487680,"[2487680, 2493675, 2510734, 2512177]"
24771,2487681,"[2487615, 2487681, 2500167, 2518861]"
24772,2487682,"[2487682, 2491626, 2497991, 2532034]"
24773,2487685,"[2487685, 2529580]"
24774,2487689,"[2487689, 2504107, 2505830, 2507372]"
24775,2487690,[2487690]
24776,2487696,[2487696]
24777,2487699,"[1081122, 2487699, 2502998, 2523314]"
24778,2487700,"[2487700, 2489665, 2492917, 2517603]"
24779,2487702,"[2487702, 2499890, 2510259, 2529820]"
24780,2487703,"[2397323, 2487703, 2523862]"
24781,2487704,"[2487704, 2488687, 2488804, 2493308]"
24782,2487708,"[2487708, 2491337, 2527873]"
24783,2487718,"[2487718, 2499647, 2524146, 2533428]"
24784,2487721,"[2487721, 2488982, 2509337, 2516080]"
24785,2487722,"[2487722, 2489274, 2511806, 2523306]"
24786,2487723,"[2487723, 2518109, 2520709, 2536843]"
24787,2487729,"[2487729, 2495411, 2504902, 2511511]"
24788,2487733,"[2487733, 2495934, 2515907, 2517651]"
24789,2487737,"[2487737, 2494709, 2513417, 2537287]"
24790,2487739,"[2487739, 2512738, 2527456, 2533813]"
24791,2487742,"[2487742, 2491582, 2506308, 2507884]"
24792,2487746,"[2487746, 2489738, 2503119, 2525707]"
24793,2487750,"[2487750, 2490721, 2492198, 2529181]"
24794,2487751,"[2487751, 2495263, 2496267, 2507762]"
24795,2487760,"[2487760, 2488536, 2498184, 2520342]"
24796,2487761,"[2487761, 2490537]"
24797,2487764,"[2487764, 2490854, 2503120, 2523250]"
24798,2487767,"[2487767, 2494175, 2509086, 2522403]"
24799,2487771,"[1789737, 2487771, 2489584, 2506393]"
