,chembl_id,molregno,chembl-name,smiles
7409,CHEMBL11417,8632,STREPTONIGRIN,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O
7458,CHEMBL267099,8682,TUBERCIDIN,Nc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
7674,CHEMBL91,8917,MICONAZOLE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
7832,CHEMBL92,9097,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C
7852,CHEMBL275309,9121,,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1
7974,CHEMBL275097,9283,TETRAHYDROBERBERINE,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
8646,CHEMBL11825,10042,,Cc1cc(-c2nc3ccccc3s2)ccc1N
8661,CHEMBL12169,10057,,Nc1ccc(-c2nc3ccccc3s2)cc1Br
8701,CHEMBL276851,10102,,Nc1ccc(-c2nc3ccccc3s2)cc1I
8702,CHEMBL12231,10103,,Nc1ccc(-c2nc3ccccc3s2)cc1Cl
8924,CHEMBL11919,10352,,C[C@H](N)Cc1c[nH]cn1
8952,CHEMBL268490,10385,,CNCCc1cnc[nH]1
9159,CHEMBL12509,10664,,O=NN(CCF)C(=O)NC1CCSCC1
9393,CHEMBL12792,10920,,O=NN(CCF)C(=O)NC1CC2CCC1C2
9646,CHEMBL12994,11211,,C[C@@H](CCc1ccc(O)cc1)NC[C@H](O)COc1ccc(O)cc1
9647,CHEMBL273453,11212,ALDOSTERONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12
9651,CHEMBL13134,11217,PALINAVIR,CC(C)[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C
9736,CHEMBL98,11305,VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO
9798,CHEMBL274782,11370,,COc1ccc(CC[C@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1
9920,CHEMBL99,11501,TRICHOSTATIN,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1
9958,CHEMBL276659,11545,,O=C(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccccc1
10737,CHEMBL13746,12437,,CCc1c2c(nc3cnc(C(=N)NO)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
10792,CHEMBL531,12494,PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
10875,CHEMBL441018,12588,CRYPTOPHYCIN A,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl
10889,CHEMBL533,12608,IBUTILIDE,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
11072,CHEMBL103,12825,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
11093,CHEMBL13817,12850,IBUTAMOREN,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12
11104,CHEMBL13926,12861,,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@]2(CC(=O)c3ccccc3O2)C1
11144,CHEMBL276711,12911,SEMAXANIB,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
11261,CHEMBL535,13048,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
11263,CHEMBL13795,13050,VUF-5297,N[C@H]1C[C@@H]1c1c[nH]cn1
11331,CHEMBL13975,13132,,NS(=O)(=O)c1ccc(CCNSC(=S)N2CCOCC2)cc1
11619,CHEMBL14184,13449,HEXANOATE,CCCCCC(=O)O
11735,CHEMBL105,13590,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
