cell_id,cell_top10,value_top10
42,"[666, 646, 651, 786, 1501, 641, 623, 165, 1436]","[0.8678920578532966, 0.8626918302264507, 0.859849515778351, 0.8537551274565133, 0.8525845598587678, 0.8486614421957447, 0.8470572801680452, 0.8468923801676874, 0.8463101264413149]"
635,"[646, 649, 651, 641, 1501, 786, 1441, 1503, 564]","[0.8751277751198848, 0.8732358257935731, 0.8717155594323712, 0.8701471737885927, 0.8693664158434888, 0.8684135162858838, 0.8680942562506593, 0.8663602891528649, 0.8637069336368155]"
636,"[564, 1573, 635, 1441, 1503, 651, 1444]","[0.8815685048183364, 0.8617590898770792, 0.8601254994922075, 0.8479631038310714, 0.8422217869046338, 0.8401725393807701, 0.8368525900376653]"
610,[621],[0.8142067128807]
1231,"[1235, 1232, 1234, 1351, 1508, 1663, 1212, 1387, 1219, 1523]","[0.9095192495203964, 0.8982358302230129, 0.8970458739584856, 0.8956355355459866, 0.8935899719239561, 0.8906542622013909, 0.8793797458306972, 0.876866914131217, 0.8757103053497839, 0.8756923312196163]"
1232,"[1663, 1231, 1219, 714, 1508, 1385, 1349, 1215, 1212, 1466]","[0.9009289296273776, 0.8982358302230129, 0.8981782409250046, 0.8981653098954473, 0.8979398701078782, 0.8947294579158163, 0.888362405111472, 0.8881166114491847, 0.8873439875244004, 0.8863418199894081]"
485,"[651, 1501, 646, 1220, 786, 641, 500]","[0.8160000859670702, 0.8093584558021177, 0.8075839156898786, 0.8018585910766107, 0.8015617605862435, 0.8014718891303495, 0.8004910891258261]"
1608,"[1385, 1609, 1477, 623, 1478, 1349, 1232, 165, 1475]","[0.902055152989867, 0.8849049834156038, 0.864987676987102, 0.8647010926393288, 0.8627019820225309, 0.8587325880428837, 0.8578438826024035, 0.8575437373298528, 0.8564599686346352]"
1609,"[1385, 1608, 1622, 1478, 165, 623, 797, 633, 405, 641]","[0.889389833900811, 0.8849049834156038, 0.8770895044748169, 0.8754269858226118, 0.8437622793696683, 0.8419052238890925, 0.8358837286750727, 0.835447283868476, 0.8326359548358923, 0.8311969126600406]"
1385,"[1608, 1232, 1219, 1609, 1663, 1215, 633, 165, 623, 1621]","[0.902055152989867, 0.8947294579158163, 0.8897290013539884, 0.889389833900811, 0.8836832757554867, 0.881976808036021, 0.8816339448413888, 0.8813948805246322, 0.880571813340682, 0.8805469804888855]"
1443,"[796, 1441, 1471, 623, 1475, 633, 1352, 1444, 1215]","[0.9192789457110826, 0.8946854094709743, 0.894377783298868, 0.8813734947765597, 0.8759865591372005, 0.8759564022271972, 0.8738359711331034, 0.8725529012500233, 0.8722341940192969]"
641,"[565, 562, 786, 642, 646, 690, 1436, 495, 651]","[0.9447684634169392, 0.9417588051889516, 0.93553766632701, 0.9347144165666972, 0.919153227118188, 0.917131990382638, 0.9156809610306093, 0.9125432241196538, 0.9089915329761512]"
562,"[641, 565, 642, 786, 495, 690, 1436, 646, 651]","[0.9417588051889516, 0.9390198918754392, 0.9344270174389984, 0.9155553544878572, 0.900888955848489, 0.8960649243728677, 0.8953133853088654, 0.8941607099718779, 0.8920647905538198]"
642,"[641, 562, 565, 786, 495, 189, 1436, 646, 690]","[0.9347144165666972, 0.9344270174389984, 0.9328295369659002, 0.9132741207020738, 0.8977519252386496, 0.8972501151975002, 0.8931756624759724, 0.8927136826812895, 0.891269635509837]"
706,"[365, 634, 631, 1229, 372, 373, 641, 565, 646]","[0.9095538110924576, 0.906647793895058, 0.9056714916355442, 0.9052396957344516, 0.8564191844537256, 0.850713604119331, 0.8152159900748513, 0.8049698109631642, 0.8027958764499487]"
1234,"[1663, 1231, 1219, 1508, 1232, 1235, 1351, 1385, 1466, 1507]","[0.9068205885481164, 0.8970458739584856, 0.8837156911724007, 0.8796549135397566, 0.8785537003907333, 0.8694751504460206, 0.8662683214318363, 0.8648021382758088, 0.8644938210326136, 0.8631231571005686]"
1235,"[1231, 1387, 1508, 1232, 1234, 1663, 1507, 1351, 1523]","[0.9095192495203964, 0.8903435553193438, 0.8814795448625723, 0.8794509240313958, 0.8694751504460206, 0.8683129221544419, 0.8682262490735143, 0.8675421185530107, 0.8655658768107719]"
1386,"[1384, 690, 1663, 1219, 1621, 1351]","[0.8850664131916739, 0.8822559561546934, 0.8817813803822936, 0.881239423921383, 0.8728451995821176, 0.8695510606807605]"
1663,"[1219, 1234, 1232, 1231, 1351, 1385, 1621, 1508, 1386, 1581]","[0.9123340330774956, 0.9068205885481164, 0.9009289296273776, 0.8906542622013909, 0.8879088908330177, 0.8836832757554867, 0.882254810882517, 0.8819257894075919, 0.8817813803822936, 0.8759004983353029]"
