,compound_id,cell_id,active
47071,49212,565,-1
47072,48319,565,-1
47073,48235,565,-1
47074,49101,565,-1
47101,178874,565,-1
47148,205231,565,-1
48025,111796,1037,-1
48255,190779,45,-1
48435,269646,408,-1
48436,269656,408,-1
48437,268888,408,-1
48438,269564,408,-1
48439,268856,408,-1
48440,269098,408,-1
48441,269512,408,-1
48442,269128,408,-1
48443,269369,408,-1
48955,54691,384,-1
49648,230752,408,-1
49649,230734,408,-1
49783,546906,408,-1
49792,15335,408,-1
49793,15378,408,-1
49873,201510,408,-1
49903,52248,408,-1
52459,1503381,649,-1
52460,1503385,649,-1
52461,1503395,649,-1
52462,1503383,649,-1
57604,167069,485,-1
57605,166469,485,-1
57606,167188,485,-1
57607,166677,485,-1
57608,167117,485,-1
57609,166468,485,-1
57610,166396,485,-1
57611,166466,485,-1
57612,165877,485,-1
57613,166741,485,-1
57614,166990,485,-1
57615,167189,485,-1
57616,167756,485,-1
57617,167207,485,-1
57618,165908,485,-1
57619,166613,485,-1
57620,167068,485,-1
57621,165911,485,-1
57622,167066,485,-1
57623,166612,485,-1
57624,166670,485,-1
57625,167263,485,-1
57626,166708,485,-1
57627,165879,485,-1
57628,167755,485,-1
57629,167125,485,-1
57630,166740,485,-1
58222,85068,643,-1
58223,84587,643,-1
58224,85099,643,-1
58225,2247,643,-1
58226,84716,643,-1
58227,84450,643,-1
58228,2484,643,-1
58229,36972,643,-1
58230,85100,643,-1
58317,99804,643,-1
58318,99497,643,-1
58319,98836,643,-1
58320,99569,643,-1
58321,99699,643,-1
58322,99526,643,-1
58323,99697,643,-1
58324,99838,643,-1
58325,99604,643,-1
58326,99795,643,-1
58327,99605,643,-1
58808,29643,568,-1
59371,256131,570,-1
59831,85008,449,-1
60331,1050455,491,-1
60332,1050990,491,-1
60440,117773,289,-1
60532,124547,1072,-1
60758,186971,500,-1
60759,186493,500,-1
60760,94839,500,-1
60761,186746,500,-1
60762,186710,500,-1
60763,186745,500,-1
60764,186969,500,-1
60765,186375,500,-1
60766,185828,500,-1
60767,186711,500,-1
60768,186008,500,-1
60769,187519,500,-1
61094,150669,722,-1
61117,150581,722,-1
61118,150438,722,-1
61119,150606,722,-1
61120,150455,722,-1
61121,150466,722,-1
62681,141707,571,-1
62682,142396,571,-1
62683,142487,571,-1
62684,142479,571,-1
62685,142482,571,-1
62686,142478,571,-1
62687,142473,571,-1
62688,142489,571,-1
62689,142228,571,-1
62690,142485,571,-1
62691,142436,571,-1
62692,142451,571,-1
63661,286666,965,-1
63817,75928,395,-1
63818,76861,395,-1
63869,453536,647,-1
63963,1704189,1059,-1
63968,1704189,819,-1
64048,30008,662,-1
64049,30154,662,-1
64050,30031,662,-1
64051,29919,662,-1
64052,29965,662,-1
64274,43598,662,-1
64281,283916,723,-1
64588,98823,473,-1
65990,263141,449,-1
66352,116604,676,-1
66353,115979,676,-1
66490,191309,721,-1
66625,116604,721,-1
66770,269098,936,-1
66771,269367,936,-1
66772,269072,936,-1
67290,138001,306,-1
67291,138436,306,-1
67465,67974,306,-1
67466,67873,306,-1
67467,67941,306,-1
67468,67896,306,-1
67469,67418,306,-1
67470,67914,306,-1
67832,268896,718,-1
67833,268899,718,-1
68147,677650,409,-1
68148,677663,409,-1
68149,1590123,409,-1
68177,677654,409,-1
68178,678317,409,-1
68179,677641,409,-1
68231,265198,409,-1
68232,265234,409,-1
68233,265299,409,-1
68467,192021,718,-1
68468,191640,718,-1
68534,4775,718,-1
68687,192102,409,-1
68711,264932,409,-1
68712,264955,409,-1
68713,265839,409,-1
68804,60430,409,-1
68805,58663,409,-1
68806,58855,409,-1
68807,58624,409,-1
69015,702,718,-1
69016,696,718,-1
69018,695,718,-1
69075,100069,718,-1
69076,99257,718,-1
69077,101160,718,-1
69078,100557,718,-1
69079,100244,718,-1
69080,99777,718,-1
69081,100510,718,-1
69221,16830,191,-1
69272,123912,697,-1
69462,30885,718,-1
69468,1595417,718,-1
69509,1595416,718,-1
69511,235834,718,-1
69512,235832,718,-1
69546,145205,718,-1
69547,145253,718,-1
69548,144642,718,-1
69550,144707,718,-1
69551,144644,718,-1
69883,18724,1142,-1
69884,18568,1142,-1
69885,18527,1142,-1
69894,274114,697,-1
69895,274079,697,-1
69896,274308,697,-1
69897,274403,697,-1
69898,274289,697,-1
69899,274374,697,-1
70048,1386949,635,-1
70075,96262,308,-1
70101,69301,308,-1
70102,68208,308,-1
70103,68898,308,-1
70199,154917,308,-1
70224,155938,308,-1
70225,156316,308,-1
70229,156201,308,-1
70230,156613,308,-1
70231,156176,308,-1
70233,155114,308,-1
70542,51113,442,-1
70881,170986,721,-1
70882,171020,721,-1
71149,234323,306,-1
71150,234324,306,-1
71151,234364,306,-1
71152,234322,306,-1
71153,234718,306,-1
71154,234717,306,-1
71349,546906,721,-1
71558,31738,721,-1
71587,127016,721,-1
71588,71017,721,-1
71590,177478,721,-1
71591,71063,721,-1
71592,126883,721,-1
71691,25965,721,-1
71692,26343,721,-1
71693,26282,721,-1
71694,26283,721,-1
71695,25994,721,-1
71696,26345,721,-1
71729,144086,721,-1
72030,180738,721,-1
72031,180439,721,-1
72032,180741,721,-1
72033,180438,721,-1
72034,180739,721,-1
72035,179768,721,-1
72105,2249,721,-1
72106,2241,721,-1
72944,85791,649,-1
73046,60936,468,-1
73067,62008,468,-1
73073,60690,468,-1
73074,61493,468,-1
73075,61899,468,-1
74069,55566,649,-1
74258,64407,668,-1
74259,64232,668,-1
74304,15335,308,-1
74305,15378,308,-1
74505,222854,649,-1
74506,222298,649,-1
74507,222832,649,-1
74508,222822,649,-1
74509,222815,649,-1
74522,222764,649,-1
74523,222763,649,-1
74555,105865,649,-1
74556,105866,649,-1
74557,106138,649,-1
74566,105663,649,-1
74675,1633335,649,-1
74676,157840,649,-1
74677,157975,649,-1
74749,1633355,649,-1
75019,199424,668,-1
75020,546906,668,-1
75180,3207,726,-1
75181,3367,726,-1
75182,3044,726,-1
75183,3414,726,-1
75184,3326,726,-1
75185,3420,726,-1
75259,195882,723,-1
75260,195928,723,-1
75273,106303,757,-1
75297,150051,635,-1
75298,149944,635,-1
75308,149962,635,-1
75309,149945,635,-1
75310,150351,635,-1
75311,150142,635,-1
75598,217157,721,-1
75670,246324,721,-1
75849,1595443,697,-1
75991,106404,697,-1
75994,105900,697,-1
76369,1157601,308,-1
76370,1157618,308,-1
76371,1157602,308,-1
76873,179003,1149,-1
77632,22954,649,-1
77633,23547,649,-1
77635,23586,649,-1
77676,16685,722,-1
77763,138346,722,-1
77764,138178,722,-1
77765,138305,722,-1
77766,137809,722,-1
79440,101101,502,-1
80275,199382,649,-1
80276,199370,649,-1
80277,199746,649,-1
80278,199792,649,-1
80279,199782,649,-1
80280,199154,649,-1
81630,9503,726,-1
81999,9503,395,-1
82633,269637,786,-1
82658,52248,786,-1
82684,41926,786,-1
82772,257180,786,-1
82773,257770,786,-1
82774,257189,786,-1
82775,256360,786,-1
82776,257248,786,-1
82777,257637,786,-1
82778,257178,786,-1
82779,257771,786,-1
82780,257144,786,-1
82781,257801,786,-1
82782,257772,786,-1
82783,257122,786,-1
82841,253610,786,-1
82842,253027,786,-1
82843,253026,786,-1
83173,124547,786,-1
83574,190449,651,-1
83617,185099,651,-1
83684,46499,786,-1
83852,283393,469,-1
83853,283394,469,-1
83854,283938,469,-1
83872,201510,668,-1
83937,192102,698,-1
84069,109911,786,-1
84070,110573,786,-1
84168,70820,786,-1
84169,70826,786,-1
84170,70213,786,-1
84194,1826154,786,-1
84332,141538,1163,-1
84357,141783,1163,-1
84358,141569,1163,-1
84463,128118,308,-1
85187,1382699,473,-1
85188,1382700,473,-1
85189,288527,473,-1
85488,132617,473,-1
85489,132616,473,-1
85593,3179,473,-1
85594,3450,473,-1
86676,230736,786,-1
86677,230734,786,-1
86678,230726,786,-1
86972,169155,786,-1
86973,169125,786,-1
87067,15335,786,-1
87068,15378,786,-1
87076,425312,786,-1
87194,485738,786,-1
88896,283574,726,-1
88897,283198,726,-1
88980,21002,726,-1
88981,21028,726,-1
88982,20446,726,-1
89250,274769,308,-1
89409,39710,308,-1
89410,127928,308,-1
89412,127530,308,-1
89414,127529,308,-1
89415,127667,308,-1
89418,127196,308,-1
89419,127566,308,-1
89420,127884,308,-1
89421,40411,308,-1
89493,1387050,1152,-1
89494,1386949,1152,-1
89495,1386946,1152,-1
91203,553942,308,-1
