smiles,pref_name,id_29,top3_29
N[C@@H](CC(=O)O)C(=O)O,ASPARTIC ACID,9311,
CC(N)C(=O)O,ALANINE,9400,
N[C@@H](CO)C(=O)O,SERINE,9413,
COC(=O)C1Cc2c([nH]c3ccccc23)C(C)N1,,9770,
CN1CCCN(C)C1=S,,9874,
CC(=O)Nc1cccnc1,,9881,
c1ccc2cnccc2c1,ISOQUINOLINE,9887,
Cc1cccc(C[N+](C)(CCCl)CCCl)c1[N+](=O)[O-],,9916,
C[N+](CCCl)(CCCl)Cc1ccccc1[N+](=O)[O-],,9942,
C[N+](CCBr)(CCBr)Cc1ccccc1[N+](=O)[O-],,9943,
CNC(=O)c1cccnc1,NICOTINYL METHYLAMIDE,9951,
CC(=O)Nc1ccccn1,,9952,
CC(=O)Nc1ccccc1,ACETANILIDE,9953,
O=C1CCCCCN1,CAPROLACTAM,9969,
CCN1CCCCCC1=O,,9985,
CN1CCCCCC1=O,,9986,
CN(C)CCc1c[nH]c2ccccc12,"N,N-DIMETHYLTRYPTAMINE",9988,
CN(C)CCc1c[nH]c2ccc(O)cc12,BUFOTENINE,9989,
C[S+](C)[O-],DIMETHYL SULFOXIDE,10009,
S=C1NCCN1,ETHYLENE THIOUREA,10010,
CN1CCN(C)C1=O,,10012,
CC(=O)N1CCCCC1,,10013,
COc1cccc(C[N+](C)(CCCl)CCCl)c1[N+](=O)[O-],,10020,
CN1CCCCN(C)C1=O,,10029,
SC1=NCCCCN1,,10041,
CCN1CCN(CC)C1=O,,10045,
O=C1NCCN1,,10050,
CN(C)C(=S)N(C)C,,10052,
CN(C)C(=O)N(C)C,,10053,
CCN(CC)C(=S)N(CC)CC,,10056,
CNC(=O)c1ccccn1,,10061,
CC(=O)Nc1ccncc1,,10063,
CCN1CCCCC1=O,,10064,
CN1CCCCC1=O,,10065,
CCN(CC)C(=O)N(CC)CC,,10069,
CN1CCN(C)C1=S,,10082,
CCN1CCCN(CC)C1=O,,10093,
CCN1CCN(CC)C1=S,,10094,
CCN1CCCN(CC)C1=S,,10095,
CC(C)NC[C@@H](O)COc1cccc2ccccc12,DEXPROPRANOLOL,10099,
SC1=NCCCN1,,10107,
CN1CCCN(C)C1=O,,10117,
CCCCN1CCCN(CCCC)C1=O,,10153,
O=C1NCCCN1,,10156,
CN1CCCNC1=O,,10157,
CCN1CCCCN(CC)C1=O,,10159,
CC(=O)N1CCCC1,,10160,
CN1CCCCN(C)C1=S,,10177,
CC(=O)N1CCCCCC1=O,,10178,
CC(=O)N1CCCCC1=O,,10179,
O=C1NCCCCN1,,10183,
CC(=O)NC1CCCCC1,,10191,
CNC(=O)NS(=O)(=O)c1cc(CCNC(=O)c2cc(Cl)ccc2OC)ccc1OC,,10248,
CC(Cl)CN(C)CC(C)Cl,,10251,
CC[N+](C)(CC)Cc1ccccc1[N+](=O)[O-],,10271,
CN(CCBr)CCBr,,10272,
O=C1CCCCN1,,10273,
CC(=O)N1CCCC1=O,,10274,
CCN1CCCC1=O,,10275,
CN1CCCC1=O,,10276,
O=C1CCCN1,2-PYRROLIDONE,10290,
CNC(=O)NS(=O)(=O)c1ccc(CCNC(=O)c2cc(Cl)ccc2OC)cc1,GLICONDAMIDE,10297,
CNC(=O)NS(=O)(=O)c1cc(CCNC(=O)c2cc(Cl)ccc2OC)c(OC)cc1OC,,10330,
C[C@H](N)Cc1c[nH]cn1,,10352,
C[C@@H](N)Cc1c[nH]cn1,,10383,
CNCCc1cnc[nH]1,,10385,
Cc1ncc(CCN)[nH]1,2-METHYLHISTAMINE,10386,
COc1cc(NC(C)CCCN)c2ncccc2c1,PRIMAQUINE,10389,
Cc1nc[nH]c1CCN,4-METHYLHISTAMINE,10414,
Cn1cnc(CCN)c1,N-METHYLHISTAMINE,10455,
CN(C)CCCSC(=N)N,DIMAPRIT,10519,
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,MECLOFENAMIC ACID,10531,
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,PYRILAMINE,10661,
CC(NC(=O)N(CCCl)N=O)C(=O)O,,10702,
CC1CC(O)C(NC(=O)N(CCCl)N=O)C(O)C1,,10710,
CC(C)(Cc1ccccc1)NC(=O)N(CCCl)N=O,,10732,
Cc1cc(C)c(NC(=O)N(CCCl)N=O)c(C)c1,,10766,
CC(C)(NC(=O)N(CCCl)N=O)C(=O)O,,10890,
COCC1OC(O)C(NC(=O)N(CCCl)N=O)C(OC)C1OC,,10892,
NC(=O)N(CCCl)N=O,,10899,
CCCCCC(C)NC(=O)N(CCCl)N=O,,10903,
NCCCC(=O)O,GAMMA-AMINOBUTYRIC ACID,10909,
Cc1cccc(C)c1NC(=O)N(CCCl)N=O,,10913,
CN(C)C(=O)c1ccc(NC(=O)N(CCCl)N=O)cc1,,10960,
C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O,MUSCARINE,11015,
CNC(c1cccc2nc(O)c(O)nc12)P(=O)(O)O,,11083,
COc1ccc(CCCNC[C@H](O)COc2ccc(O)cc2)cc1,,11141,
COc1ccc(C[C@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1,,11221,
Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,11226,
CC(C)S(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,11291,
CCCCCS(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,11297,
CCCS(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,11331,
COc1ccc(CC[C@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1,,11370,
Cc1onc(C(=O)O)c1CC(N)C(=O)O,,11482,
CS(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,11506,
CC(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,11552,
CCCCCCCc1cc(O)cc(O)n1,,11582,
Cc1onc(O)c1CC(N)C(=O)O,"(R,S)-AMPA",11595,
NCc1ccccc1,BENZYLAMINE,11694,NaN
NCc1ccc(Cl)cc1,,11735,
NP(=O)(O)N(CCCl)CCCl,PHOSPHORAMIDE MUSTARD,11818,NaN
CC(C)c1cccc(C(C)C)c1O,PROPOFOL,11819,
CC(C)(S)C(N)C(=O)O,DL-PENICILLAMINE,11973,
Nc1nc(N)c(CCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)n1,,12709,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,PROGESTERONE,12825,
NS(=O)(=O)c1ccc(CNSC(=S)N2CCOCC2)cc1,,12941,
NS(=O)(=O)c1ccc(NSC(=S)N2CCOCC2)cc1,,12977,
COc1cc(Cc2cnc(N)nc2N)cc(OCCCC(=O)O)c1OC,,13004,
COC(=O)CCCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,13051,
CCN(CC)CCNC(=O)c1ccc(I)cc1,,13072,
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCCC(=O)O)c1OC,,13074,
COC(=O)CCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,13080,
CCOC(=O)CCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,13105,
NS(=O)(=O)c1ccc(CCNSC(=S)N2CCOCC2)cc1,,13132,
Nc1nc(Nc2cccc(Cl)c2)n[nH]1,,13244,
Nc1nc2ccc(Cl)cc2[nH]1,,13257,
Oc1ccc(O)cc1,HYDROQUINONE,13329,
Oc1ccc2ccccc2c1,BETANAPHTHOL,13336,
Nc1ncnc(Nc2ccc3ccccc3c2)n1,,13339,
CC(=O)O,ACETIC ACID,13342,
Nc1ncnc(Nc2cccc(Cl)c2)n1,,13344,
Nc1nccc(Nc2cccc(Cl)c2)n1,,13345,
c1c[nH]cn1,IMIDAZOLE,13355,
COc1cc(C=O)ccc1O,VANILLIN,13369,
Nc1ncnc(Nc2ccccc2)n1,AMANOZINE,13429,
CCCCO,BUTYL ALCOHOL,13440,
CCCCC(=O)O,VALERIC ACID,13448,
CCCCCC(=O)O,HEXANOATE,13449,
CCCC(=O)O,BUTANOIC ACID,13450,
CCC(=O)O,PROPIONIC ACID,13451,
Cn1ccnc1,1-METHYLIMIDAZOLE,13454,
Oc1ccccc1,PHENOL,13456,
COc1ccc(O)cc1,MEQUINOL,13474,
COc1ccccc1O,GUAIACOL,13476,
Nc1ccccc1C(=O)O,ANTHRANILIC ACID,13479,
NC1=Nc2cc(Cl)ccc2CN1,,13505,
CC(C)CCN(C)CC(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,13539,
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCN4[C@H]3CC[C@]12C,,13604,
CCO,ALCOHOL,13618,
CC(C)CCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,13620,
CC(C)CCN(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,13662,
CC(C)CCN[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)OC(C)(C)C,,13664,
CC(C)CCN[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,13699,
CC1OC(O)C(O)C(O)C1O,,13810,
OC1COC(O)C(O)C1O,,13821,
