molregno,smiles
4345,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
4354,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccncc4)oc23)CC1
4356,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4)oc23)CC1
4357,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4I)oc23)CC1
4361,CCCCCCCC/C=C\CCCCCCCC(=O)O
4381,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
4388,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O.[Br-].[Br-]
4391,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c3cccc4cccc(c34)C1=O)C2=O.[Br-].[Br-]
4398,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
4399,CCCc1c(OCC(O)COc2ccc3c(=O)cc(C(=O)O)oc3c2CCC)ccc(C(C)=O)c1O
4411,CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O
4480,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21
4504,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
4531,O=C(c1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)c(-c2ccccc2)c1)c1ccccc1
4565,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O.[Br-].[Br-]
4584,NCCc1ccc(O)c(O)c1
4634,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
4637,O=C(O)c1ccc(OCCn2ccnc2)cc1
4652,C#CCN(C)C(C)Cc1ccccc1
4672,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
4686,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
4729,CCOC(=N)c1ccccc1O
4730,NC(=O)NO
4775,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
4778,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1
4794,CN1CC[C@H](O)[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C1
4801,CN1CC[C@@H](O)[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C1
4829,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(=O)C1
4834,O=c1cc(-c2ccccc2Cl)oc2c(C3CCCC[C@@H]3O)c(O)cc(O)c12
4872,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
4920,N#Cc1ccc(C2CCCc3cncn32)cc1
4941,NNC(=O)c1ccncc1
4989,O=C1c2ccccc2C(=O)N1c1ccccc1
4991,CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5028,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
5080,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
5105,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
5170,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
5206,O=P(O)(O)C(F)(F)c1ccc(CC(c2ccccc2)n2nnc3ccccc32)cc1
5221,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc3oc4cc(O)c(O)cc4c3c(O)c21
5235,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
5240,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O
5246,COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O
5261,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O
5268,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5285,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
5295,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
5371,Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1
5389,COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
5528,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
5535,CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21
5540,CC(=O)Nc1cccc(O)c1
5575,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1
5582,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
5638,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
5661,CN(C)CCNC(=O)c1cccc2cc3ccccc3nc12
5666,c1ccc(C2(N3CCCCC3)CCCCC2)cc1
5684,CNC=O
5740,O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1
5772,CN(C)/N=N/c1[nH]cnc1C(N)=O
5797,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
5884,Clc1cccc(N2CCNCC2)c1
5925,COc1ccccc1N1CCNCC1
5970,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
5975,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
5985,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
6005,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
6012,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O
6062,COc1ccc(OC)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c1
6078,Nc1ncnc2c1ncn2CCOCP(=O)(O)O
6104,COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
6160,COc1cc(C(=O)/C=C/c2ccc3c(c2)OCO3)cc(OC)c1OC
6208,C(=C\c1ncnc2c1ncn2Cc1ccccc1)\c1ncnc2c1ncn2Cc1ccccc1
6216,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
6235,C(#Cc1ncnc2c1ncn2Cc1ccccc1)c1ncnc2c1ncn2Cc1ccccc1
6240,C(C#Cc1ncnc2c1ncn2Cc1ccccc1)#Cc1ncnc2c1ncn2Cc1ccccc1
6243,CNCCCN1c2ccccc2CCc2ccccc21
6244,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
6266,c1ccc(Cn2cnc3c(CCc4ncnc5c4ncn5Cc4ccccc4)ncnc32)cc1
